"floors","rooms","width","length","size","area_name","region_name","price","living_size","toilets","ward_name","direction","directionNumber","balconydirection","balconydirectionNumber"
"","2","","","74","Quận 6","Tp Hồ Chí Minh","1340000000","0","2","Phường 10","","0","","0"
"","2","","","80","Thành phố Thủ Đức","Tp Hồ Chí Minh","4000000000","0","2","Phường Long Thạnh Mỹ (Quận 9 cũ)","","0","","0"
"","3","","","90","Quận Tân Phú","Tp Hồ Chí Minh","2150000000","0","2","Phường Phú Thạnh","","0","","0"
"","2","","","58","Quận Sơn Trà","Đà Nẵng","1700000000","0","1","Phường An Hải Tây","","2","","1"
"","2","","","86","Quận 6","Tp Hồ Chí Minh","3050000000","0","2","Phường 11","","2","","1"
"","2","","","83","Huyện Bình Chánh","Tp Hồ Chí Minh","3400000000","0","2","Xã Bình Hưng","","0","","3"
"","1","","","37.5","Quận Bình Tân","Tp Hồ Chí Minh","630000000","0","1","Phường Tân Tạo","","0","","0"
"","1","","","61","Quận 6","Tp Hồ Chí Minh","2350000000","0","1","Phường 11","","0","","6"
"","1","","","38.2","Quận Bình Tân","Tp Hồ Chí Minh","605000000","0","1","Phường Tân Tạo","","8","","5"
"","1","","","36.5","Quận Bình Tân","Tp Hồ Chí Minh","630000000","0","1","Phường Tân Tạo","","8","","5"
"","1","","","45","Thành phố Thuận An","Bình Dương","144000000","0","1","Phường Thuận Giao","","1","","7"
"","1","","","34","Quận Bình Tân","Tp Hồ Chí Minh","560000000","0","1","Phường Tân Tạo","","8","","5"
"","2","","","61","Quận Sơn Trà","Đà Nẵng","3600000000","0","2","Phường An Hải Đông","","0","","0"
"","3","","","120","Quận Bình Thạnh","Tp Hồ Chí Minh","7200000000","0","2","Phường 22","","0","","0"
"","1","","","52","Huyện Bình Chánh","Tp Hồ Chí Minh","1700000000","0","1","Xã Phong Phú","","0","","0"
"","2","","","65.5","Thành phố Thủ Đức","Tp Hồ Chí Minh","3100000000","0","0","Phường Phước Bình (Quận 9 cũ)","","3","","4"
"","2","","","51","Huyện Nhà Bè","Tp Hồ Chí Minh","2150000000","0","1","Xã Phước Kiển","","7","","6"
"","2","","","76","Quận Bình Thạnh","Tp Hồ Chí Minh","2650000000","0","2","Phường 13","","0","","0"
"","3","","","128.8","Quận 8","Tp Hồ Chí Minh","4800000000","0","0","Phường 6","","2","","4"
"","3","","","106","Quận 5","Tp Hồ Chí Minh","2400000000","0","1","Phường 14","","0","","0"
"","2","","","58","Thành phố Thủ Đức","Tp Hồ Chí Minh","1900000000","0","2","Phường Phước Long B (Quận 9 cũ)","","0","","0"
"","2","","","58","Thành phố Thủ Đức","Tp Hồ Chí Minh","1900000000","0","2","Phường Phước Long B (Quận 9 cũ)","","0","","0"
"","2","","","55","Thành phố Dĩ An","Bình Dương","1460000000","0","1","Phường Dĩ An","","0","","0"
"","2","","","52","Thành phố Thủ Đức","Tp Hồ Chí Minh","1563000000","0","2","Phường Linh Tây (Quận Thủ Đức cũ)","","0","","0"
"","3","","","87","Quận Nam Từ Liêm","Hà Nội","3200000000","0","2","Phường Mỹ Đình 1","","4","","3"
"","2","","","70","Quận 1","Tp Hồ Chí Minh","8000000000","0","2","Phường Bến Nghé","","0","","0"
"","2","","","82","Quận Bình Tân","Tp Hồ Chí Minh","1800000000","0","2","Phường Tân Tạo A","","0","","0"
"","2","","","58","Thành phố Thủ Đức","Tp Hồ Chí Minh","1950000000","0","2","Phường Phước Long B (Quận 9 cũ)","","0","","0"
"","2","","","51","Huyện Bến Lức","Long An","900000000","0","2","Xã An Thạnh","","0","","1"
"","2","","","77","Quận Hoàng Mai","Hà Nội","3200000000","0","2","Phường Hoàng Văn Thụ","","0","","0"
"","1","","","50","Quận Hà Đông","Hà Nội","9700000","0","1","Phường Kiến Hưng","","6","","6"
"","2","","","69.9","Quận Bình Thạnh","Tp Hồ Chí Minh","2130000000","0","2","Phường 22","","0","","0"
"","3","","","115","Quận 1","Tp Hồ Chí Minh","13500000000","0","2","Phường Bến Nghé","","0","","0"
"","2","","","82","Quận Tân Phú","Tp Hồ Chí Minh","2600000000","0","2","Phường Phú Thọ Hòa","","0","","0"
"","3","","","113","Quận Bình Thạnh","Tp Hồ Chí Minh","2150000000","0","2","Phường 22","","0","","0"
"","2","","","66.8","Quận Bình Thạnh","Tp Hồ Chí Minh","2800000000","0","1","Phường 19","","4","","3"
"","2","","","78","Quận Long Biên","Hà Nội","2190000000","0","2","Phường Giang Biên","","7","","0"
"","2","","","88","Quận Bình Tân","Tp Hồ Chí Minh","1400000000","0","1","Phường Tân Tạo","","0","","0"
"","2","","","50","Huyện Bình Chánh","Tp Hồ Chí Minh","1360000000","0","2","Xã Phong Phú","","0","","0"
"","2","","","101","Quận 7","Tp Hồ Chí Minh","6500000000","0","0","Phường Tân Phú","","0","","0"
"","2","","","75","Quận Gò Vấp","Tp Hồ Chí Minh","3980000000","0","2","Phường 1","","0","","0"
"","3","","","92","Quận Tây Hồ","Hà Nội","3800000000","0","2","Phường Phú Thượng","","0","","0"
"","2","","","80","Thành phố Thủ Dầu Một","Bình Dương","1900000000","0","2","Phường Chánh Nghĩa","","0","","0"
"","2","","","78","Quận 10","Tp Hồ Chí Minh","2350000000","0","2","Phường 14","","0","","0"
"","1","","","53","Thành phố Thủ Dầu Một","Bình Dương","1550000000","0","1","Phường Chánh Nghĩa","","0","","0"
"","1","","","40","Thành phố Thuận An","Bình Dương","1000000000","0","1","Phường Lái Thiêu","","0","","0"
"","2","","","69","Quận 12","Tp Hồ Chí Minh","1790000000","0","2","Phường Tân Thới Nhất","","0","","0"
"","2","","","92","Quận 4","Tp Hồ Chí Minh","4800000000","0","2","Phường 1","","0","","0"
"","2","","","68","Thành phố Thuận An","Bình Dương","1300000000","0","2","Phường Lái Thiêu","","0","","0"
"","2","","","60","Thành phố Thuận An","Bình Dương","1500000000","0","2","Phường Lái Thiêu","","0","","0"
"","2","","","75","Quận 7","Tp Hồ Chí Minh","3850000000","0","0","Phường Tân Thuận Tây","","0","","0"
"","1","","","45","Quận Tân Phú","Tp Hồ Chí Minh","1390000000","0","1","Phường Hiệp Tân","","0","","0"
"","2","","","69","Quận 12","Tp Hồ Chí Minh","2210000000","0","2","Phường Hiệp Thành","","5","","8"
